acc	organisms	technology	platforms	samples
SRP029980	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR988265,SRR988264
SRP073183	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer IIx,Illumina HiSeq 2000	SRR3362366,SRR3362365,SRR3362364,SRR3362363,SRR3362362,SRR3362361,SRR3362360,SRR3362358,SRR3362357,SRR3362356,SRR3362355,SRR3362354,SRR3362353,SRR3362352,SRR3362351,SRR3362350,SRR3362349,SRR3362348,SRR3362347,SRR3362346,SRR3362345,SRR3362344,SRR3362343,SRR3362342,SRR3362341,SRR3362340,SRR3362339,SRR3362338,SRR3362337,SRR3362336
SRP109181	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR5683090,SRR5683089,SRR5683088,SRR5683087,SRR5683086,SRR5683085,SRR5683084,SRR5683083
SRP135264	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR6829502,SRR6829501,SRR6829500,SRR6829499,SRR6829498,SRR6829497,SRR6829496,SRR6829495,SRR6829494,SRR6829493,SRR6829492,SRR6829491
SRP063969	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR2479814,SRR2479813,SRR2479812,SRR2479811,SRR2479810,SRR2479809
SRP116133	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR5973157,SRR5973156,SRR5973155,SRR5973154,SRR5973153,SRR5973152,SRR5973151,SRR5973150,SRR5973149,SRR5973148,SRR5973147
SRP106852	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR5520669,SRR5520668,SRR5520667,SRR5520666,SRR5520665,SRR5520664,SRR5520663,SRR5520662,SRR5520661,SRR5520660
SRP103733	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR5440755,SRR5440754,SRR5440753,SRR5440752,SRR5440751,SRR5440750,SRR5440749,SRR5440748,SRR5440747,SRR5440746,SRR5440745,SRR5440744
SRP131063	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 4000	SRR6497516,SRR6497515,SRR6497514,SRR6497513,SRR6497512,SRR6497511,SRR6497510,SRR6497509,SRR6497508,SRR6497507,SRR6497506,SRR6497505
SRP130181	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP090099	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP074376	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR3476392,SRR3476391,SRR3476390,SRR3476389,SRR3476388,SRR3476387,SRR3476386,SRR3476385
SRP068926	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR3125927,SRR3125926,SRR3125925,SRR3125924,SRR3125923,SRR3125922,SRR3125921,SRR3125920,SRR3125919,SRR3125918,SRR3125917,SRR3125916,SRR3125915,SRR3125914,SRR3125913,SRR3125912,SRR3125911,SRR3125910,SRR3125909,SRR3125908,SRR3125907,SRR3125906,SRR3125905,SRR3125904
SRP070896	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR3234361,SRR3234360,SRR3234359,SRR3234358,SRR3234357,SRR3234356,SRR3234355,SRR3234354,SRR3234353
SRP010854	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer IIx	SRR407422,SRR407421,SRR407420,SRR407419
SRP049242	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer IIx	SRR1623279,SRR1623278,SRR1623277,SRR1623276,SRR1623275
